qty,mfg,partnumber,value,description,designator,footprint,digikey,mouser,future
2,,,,,"C11 C12",CT6032,718-1772-1-ND,,
1,,,,,C21,CT6032,,,
4,,,,,"C22 C26 C27 C23",SMD0805,587-1312-1-ND,,
9,,,0.1u,,"C34 C31 C30 C3 C33 C4 C1 C2 C32",SMD0603,,,
47,,,,,"C35 C20 R8 R12 R23 C9 R5 R17 R34 C10 R27 R33 C19 R20 R28 C24 R16 R4 R19 R24 R14 R2 C28 R9 C17 C15 R18 R32 C18 C29 R15 C5 R21 C8 C6 C7 C14 R26 C13 R29 R31 R6 C25 C16 R1 R30 R22",SMD0603,,,
6,,,0.1u,,"C48 C44 C43 C46 C42 C47",C0603,,,
6,,,,,"D6 D4 D5 D3 D1 D2",DO-214-AC(SMA),SS16-TPCT-ND,,
3,,,,,"D7 D8 D9",0603-SCHOTTKY,641-1002-1-ND,,
1,,,USB-CONN,,JP1,UE27AC,UE27AC54100-ND,,
1,,,1X12,,JP2,TERMBLOCK-.1-12-1-282834-2,,,
6,,,G6SK-2F,,"K1 K5 K3 K4 K2 K6",G6SK-2F,Z3287-ND,,
1,,,,,L1,NR60,587-2104-1-ND,,
1,,,,,L2,NR60,587-2635-1-ND,,
1,,,,,Q1,SOT23-GSD,568-5818-1-ND,,
1,,,,,Q2,SM49,535-10218-1-ND,,
1,,,,,Q3,SM49,535-9701-1-ND,,
2,,,,,"Q5 Q4",SOT23-BEC,MMBT3904-FDICT-ND,,
2,,,FDV304P,,"Q7 Q6",SOT23-GSD,FDV304PCT-ND,,
2,,,27,,"R10 R11",SMD0603,,,
1,,,0.001,,R35,SMD0603,P8.2KDBCT-ND,,
1,,,33,,R7,SMD0603,,,
1,,,,,RT,SMD0402,490-4801-2-ND,,
1,,,LPC3130,,U1,SOT570-3,568-4696-ND,,
1,,,M25P10-AVMN,,U10,M25-SO8,M25P10-AVMN6TPCT-ND,,M25P10-AVMN6P
1,,,CFAF320240F,,U11,CFAF320240F-035T-TS,,,
1,,,MT48LC8M16A2,,U2,TSSOP-54,,,AS4C16M16S-7TCN
1,,,TS507CD,,U3,S08,497-5996-1-ND,,
1,,,NAND128-A,,U4,TSSOP48,NAND128W3A2BN6E-ND,,
1,,,MC13224V-LGA145,,U5,LGA145,MC13224VR2CT-ND,841-MC13224V,MC13224VR2
2,,,TPS54140,,"U7 U6",POWERPAD-10,296-25230-1-ND,595-TPS54140DGQ,
1,,,ULN2001D,,U8,SOIC-16,497-2341-1-ND,,
1,,,NCP571SN12-BM5,"alternate: 576-1829-1-ND",U9,SOT-23-5,NCP571SN12T1GOSCT-ND,,
